======================================================================
RHMC Production: L=4, 14 couplings x 1500 traj
  Clark-Kennedy 2-PF even-odd, 12-pole Zolotarev x^{-1/4}
  tau=0.062, eps=0.006250, MD steps=10
  Progress: 0 complete, 0 partial, 14 new
  Workers: 4, chunk: 10 traj
  Output: data/rhmc/L4_diag_seed42/g*.npz
======================================================================
  Spectrum: [0.152, 1261.2], kappa=8323

  Starting...

  g=0.500: 10/1500 traj (191s, 19.13s/traj, accept=1.00)
  g=1.077: 10/1500 traj (194s, 19.38s/traj, accept=1.00)
  g=2.231: 10/1500 traj (195s, 19.48s/traj, accept=1.00)
  g=1.654: 10/1500 traj (195s, 19.49s/traj, accept=1.00)
  g=0.500: 20/1500 traj (228s, 11.38s/traj, accept=1.00)
  g=1.077: 20/1500 traj (230s, 11.50s/traj, accept=1.00)
  g=2.231: 20/1500 traj (232s, 11.59s/traj, accept=1.00)
  g=1.654: 20/1500 traj (232s, 11.60s/traj, accept=1.00)
  g=0.500: 30/1500 traj (259s, 8.64s/traj, accept=1.00)
  g=1.077: 30/1500 traj (261s, 8.69s/traj, accept=1.00)
  g=1.654: 30/1500 traj (263s, 8.77s/traj, accept=1.00)
  g=2.231: 30/1500 traj (263s, 8.77s/traj, accept=1.00)
  g=0.500: 40/1500 traj (289s, 7.24s/traj, accept=1.00)
  g=1.077: 40/1500 traj (291s, 7.27s/traj, accept=1.00)
  g=2.231: 40/1500 traj (294s, 7.34s/traj, accept=1.00)
  g=1.654: 40/1500 traj (294s, 7.35s/traj, accept=1.00)
  g=0.500: 50/1500 traj (323s, 6.47s/traj, accept=1.00)
  g=1.077: 50/1500 traj (324s, 6.49s/traj, accept=1.00)
  g=2.231: 50/1500 traj (328s, 6.55s/traj, accept=1.00)
  g=1.654: 50/1500 traj (328s, 6.56s/traj, accept=1.00)
  g=0.500: 60/1500 traj (353s, 5.89s/traj, accept=1.00)
  g=1.077: 60/1500 traj (354s, 5.90s/traj, accept=1.00)
  g=2.231: 60/1500 traj (358s, 5.96s/traj, accept=1.00)
  g=1.654: 60/1500 traj (359s, 5.98s/traj, accept=1.00)
  g=0.500: 70/1500 traj (383s, 5.48s/traj, accept=1.00)
  g=1.077: 70/1500 traj (384s, 5.48s/traj, accept=1.00)
  g=2.231: 70/1500 traj (388s, 5.54s/traj, accept=1.00)
  g=1.654: 70/1500 traj (389s, 5.56s/traj, accept=1.00)
  g=0.500: 80/1500 traj (413s, 5.16s/traj, accept=1.00)
  g=1.077: 80/1500 traj (414s, 5.17s/traj, accept=1.00)
  g=2.231: 80/1500 traj (418s, 5.23s/traj, accept=1.00)
  g=1.654: 80/1500 traj (419s, 5.24s/traj, accept=1.00)
  g=0.500: 90/1500 traj (443s, 4.93s/traj, accept=1.00)
  g=1.077: 90/1500 traj (444s, 4.94s/traj, accept=1.00)
  g=2.231: 90/1500 traj (449s, 4.98s/traj, accept=1.00)
  g=1.654: 90/1500 traj (450s, 5.00s/traj, accept=1.00)
  g=0.500: 100/1500 traj (473s, 4.73s/traj, accept=1.00)
  g=1.077: 100/1500 traj (474s, 4.74s/traj, accept=1.00)
  g=2.231: 100/1500 traj (478s, 4.78s/traj, accept=1.00)
  g=1.654: 100/1500 traj (480s, 4.80s/traj, accept=1.00)
  g=0.500: 110/1500 traj (504s, 4.58s/traj, accept=1.00)
  g=1.077: 110/1500 traj (505s, 4.59s/traj, accept=1.00)
  g=2.231: 110/1500 traj (510s, 4.63s/traj, accept=1.00)
  g=1.654: 110/1500 traj (512s, 4.66s/traj, accept=1.00)
  g=0.500: 120/1500 traj (534s, 4.45s/traj, accept=1.00)
  g=1.077: 120/1500 traj (536s, 4.47s/traj, accept=1.00)
  g=2.231: 120/1500 traj (540s, 4.50s/traj, accept=1.00)
  g=1.654: 120/1500 traj (543s, 4.53s/traj, accept=1.00)
  g=0.500: 130/1500 traj (565s, 4.35s/traj, accept=1.00)
  g=1.077: 130/1500 traj (567s, 4.36s/traj, accept=1.00)
  g=2.231: 130/1500 traj (573s, 4.41s/traj, accept=1.00)
  g=1.654: 130/1500 traj (578s, 4.45s/traj, accept=1.00)
  g=0.500: 140/1500 traj (599s, 4.28s/traj, accept=1.00)
  g=1.077: 140/1500 traj (601s, 4.29s/traj, accept=1.00)
  g=2.231: 140/1500 traj (607s, 4.33s/traj, accept=1.00)
  g=1.654: 140/1500 traj (610s, 4.36s/traj, accept=1.00)
  g=0.500: 150/1500 traj (630s, 4.20s/traj, accept=1.00)
  g=1.077: 150/1500 traj (631s, 4.20s/traj, accept=1.00)
  g=2.231: 150/1500 traj (636s, 4.24s/traj, accept=1.00)
  g=1.654: 150/1500 traj (640s, 4.27s/traj, accept=1.00)
  g=0.500: 160/1500 traj (663s, 4.14s/traj, accept=1.00)
  g=1.077: 160/1500 traj (663s, 4.15s/traj, accept=1.00)
  g=2.231: 160/1500 traj (669s, 4.18s/traj, accept=1.00)
  g=1.654: 160/1500 traj (673s, 4.21s/traj, accept=1.00)
  g=0.500: 170/1500 traj (693s, 4.07s/traj, accept=1.00)
  g=1.077: 170/1500 traj (693s, 4.08s/traj, accept=1.00)
  g=2.231: 170/1500 traj (699s, 4.11s/traj, accept=1.00)
  g=1.654: 170/1500 traj (703s, 4.13s/traj, accept=1.00)
  g=0.500: 180/1500 traj (731s, 4.06s/traj, accept=1.00)
  g=1.077: 180/1500 traj (731s, 4.06s/traj, accept=1.00)
  g=2.231: 180/1500 traj (747s, 4.15s/traj, accept=1.00)
  g=1.654: 180/1500 traj (757s, 4.21s/traj, accept=1.00)
  g=0.500: 190/1500 traj (801s, 4.22s/traj, accept=1.00)
  g=1.077: 190/1500 traj (802s, 4.22s/traj, accept=1.00)
  g=2.231: 190/1500 traj (819s, 4.31s/traj, accept=1.00)
  g=1.654: 190/1500 traj (828s, 4.36s/traj, accept=1.00)
  g=0.500: 200/1500 traj (869s, 4.35s/traj, accept=1.00)
  g=1.077: 200/1500 traj (870s, 4.35s/traj, accept=1.00)
  g=2.231: 200/1500 traj (889s, 4.45s/traj, accept=1.00)
  g=1.654: 200/1500 traj (897s, 4.48s/traj, accept=1.00)
  g=1.077: 210/1500 traj (938s, 4.47s/traj, accept=1.00)
  g=0.500: 210/1500 traj (938s, 4.47s/traj, accept=1.00)
  g=2.231: 210/1500 traj (960s, 4.57s/traj, accept=1.00)
  g=1.654: 210/1500 traj (967s, 4.61s/traj, accept=1.00)
  g=0.500: 220/1500 traj (1011s, 4.59s/traj, accept=1.00)
  g=1.077: 220/1500 traj (1011s, 4.60s/traj, accept=1.00)
